No.,Time
2010,44.20699
2012,44.269869
2014,44.332457
2015,44.336721
2020,44.403099
2025,44.469979
2030,44.5387
2031,44.538714
2033,44.602977
2034,44.667104
2036,44.737149
2037,44.762893
2038,44.803087
2041,44.866882
2045,44.932038
2046,44.9722
2047,45.003907
2048,45.063003
2049,45.129868
2052,45.17285
2054,45.197207
2055,45.263192
2056,45.328498
2059,45.402958
2060,45.402971
2063,45.463066
2066,45.52692
2069,45.588329
2071,45.589928
2073,45.657527
2074,45.723431
2076,45.790014
2078,45.807376
2079,45.857033
2081,45.923361
2085,45.98827
2087,46.010112
2089,46.052491
2091,46.123029
2094,46.18704
2095,46.226851
2099,46.252354
2103,46.323112
2108,46.384598
2112,46.427944
2114,46.44735
2119,46.523702
2122,46.581898
2125,46.63217
2126,46.646853
2128,46.712383
2130,46.797981
2133,46.848091
2134,46.868374
2135,46.910109
2137,46.96787
2139,46.977987
2142,47.043301
2143,47.069865
2144,47.109983
2145,47.177291
2147,47.243264
2148,47.283192
2149,47.307095
2150,47.373125
2152,47.443021
2157,47.497019
2158,47.506932
2160,47.569948
2161,47.636867
2163,47.703017
2164,47.717578
2165,47.769876
2167,47.836852
2168,47.877793
2170,47.903024
2171,47.923228
2172,47.966934
2173,48.032987
2176,48.103038
2177,48.143366
2181,48.166812
2182,48.231965
2183,48.30303
2186,48.350017
2187,48.363228
2192,48.429816
2195,48.504056
2198,48.565324
2199,48.57694
2200,48.626975
2201,48.696939
2203,48.763041
2204,48.782927
2205,48.827796
2206,48.891889
2209,48.963049
2210,49.010098
2211,49.023611
2214,49.090007
2217,49.157177
2221,49.207203
2226,49.222819
2227,49.288259
2228,49.353119
2230,49.425407
2231,49.429872
2233,49.483254
2235,49.551998
2238,49.617362
2239,49.642996
2240,49.683274
2241,49.74996
2243,49.816978
2244,49.862964
2245,49.883754
2246,49.946988
2247,50.017024
2248,50.017038
2251,50.063176
2252,50.08304
2254,50.14714
2255,50.212004
2258,50.27708
2259,50.282928
2260,50.342969
2261,50.409965
2264,50.476929
2266,50.49738
2267,50.543049
2268,50.606979
2270,50.671897
2271,50.707076
2273,50.743056
2274,50.807224
2275,50.86992
2277,50.923948
2278,50.936934
2279,51.00333
2280,51.070231
2283,51.137049
2287,51.148315
2291,51.203069
2292,51.266978
2294,51.338023
2295,51.348034
2296,51.403214
2299,51.46692
2301,51.532069
2302,51.551945
2303,51.603336
2305,51.667025
2307,51.727435
2308,51.770271
2309,51.802961
2310,51.868035
2311,51.926957
2313,51.97695
2314,51.992005
2315,52.058173
2316,52.127027
2322,52.190102
2323,52.192615
2327,52.257335
2328,52.323336
2331,52.389922
2333,52.406744
2336,52.456951
2338,52.523193
2340,52.586921
2341,52.617444
2343,52.652513
2344,52.723056
2346,52.787068
2347,52.829856
2348,52.852015
2349,52.917095
2350,52.983023
2352,53.047586
2353,53.0476
2354,53.063014
2356,53.117069
2358,53.183123
2361,53.247323
2362,53.256836
2363,53.312579
2364,53.377564
2366,53.447034
2370,53.483407
2372,53.51185
2373,53.577027
2374,53.643183
2377,53.689003
2378,53.709968
2379,53.777637
2380,53.842987
2382,53.907207
2383,53.916852
2384,53.97213
2385,54.043173
2387,54.107098
2388,54.129939
2389,54.172402
2393,54.24304
2395,54.303118
2396,54.343386
2397,54.370049
2399,54.437061
2401,54.502983
2402,54.543214
2403,54.567041
2404,54.632401
2405,54.703058
2408,54.746936
2409,54.766843
2410,54.831962
2411,54.897044
2413,54.968018
2414,54.977987
2415,55.030255
2416,55.096929
2418,55.163114
2419,55.203123
2422,55.228136
2425,55.297338
2429,55.364062
2431,55.397679
2433,55.427011
2437,55.492601
2441,55.563477
2443,55.612569
2444,55.623061
2445,55.690003
2446,55.757118
2448,55.823127
2449,55.823141
2450,55.886966
2451,55.968019
2453,56.023835
2454,56.04968
2456,56.086914
2457,56.107006
2462,56.152085
2464,56.217444
2465,56.264268
2466,56.283114
2467,56.350645
2470,56.417048
2474,56.463456
2475,56.488117
2477,56.547513
2479,56.617293
2482,56.688378
2483,56.688391
2485,56.74698
2486,56.8101
2489,56.882921
2491,56.917366
2492,56.947023
2493,57.00998
2495,57.077682
2496,57.127936
2497,57.143041
2498,57.207904
2499,57.273503
2501,57.323201
2502,57.343165
2504,57.406961
2505,57.472263
2507,57.53697
2508,57.549846
2509,57.603121
2510,57.670015
2512,57.737077
2513,57.763077
2514,57.803089
2515,57.8675
2519,57.943167
2520,57.94318
2521,57.963005
2522,58.008014
2523,58.067194
2525,58.138124
2526,58.173505
2527,58.203431
2531,58.262992
2532,58.329911
2534,58.402999
2535,58.403012
2537,58.463188
2540,58.533244
2542,58.603288
2543,58.603301
2544,58.663132
2545,58.733149
2547,58.792034
2548,58.807923
2549,58.863116
2551,58.928047
2553,58.998104
2554,59.011817
2555,59.056929
2556,59.123063
2557,59.157491
2561,59.187111
2562,59.217695
2564,59.25699
2565,59.323148
2567,59.386952
2570,59.432006
2571,59.452359
2575,59.523088
2576,59.583445
2578,59.63741
2579,59.647536
2580,59.72313
2581,59.783211
2583,59.846933
2584,59.857034
2586,59.924032
2587,59.984191
2589,60.047031
2590,60.056913
2591,60.112626
2595,60.17763
2597,60.243085
2598,60.288069
2599,60.310189
2601,60.377403
2605,60.4432
2607,60.483746
2608,60.506973
2609,60.57202
2610,60.643838
2612,60.707079
2613,60.707092
2614,60.771968
2615,60.843829
2618,60.903057
2619,60.915653
2621,60.969951
2622,61.04332
2624,61.108763
2625,61.12343
2626,61.166928
2628,61.242926
2632,61.302991
2633,61.316926
2634,61.3669
2635,61.438114
2641,61.497401
2642,61.527389
2643,61.563032
2644,61.630028
2646,61.697022
2647,61.743123
2648,61.763042
2649,61.827059
2650,61.892543
2652,61.943399
2653,61.963021
2654,62.027097
2655,62.089947
2657,62.163181
2658,62.166794
2659,62.197002
2661,62.225305
2662,62.289897
2664,62.363023
2665,62.387917
2666,62.422888
2668,62.487667
2671,62.558102
2672,62.583167
2673,62.628025
2674,62.686979
2676,62.752028
2677,62.796916
2678,62.81704
2679,62.887023
2680,62.949987
2682,62.989888
2683,63.017258
2684,63.083013
2685,63.147132
2687,63.223356
2688,63.223368
2689,63.283146
2690,63.347097
2693,63.41192
2694,63.430182
2698,63.483058
2699,63.530111
2701,63.543115
2703,63.610025
2704,63.643037
2705,63.677431
2706,63.742962
2707,63.807973
2709,63.848011
2710,63.848023
2712,63.883077
2714,63.942996
2715,64.007019
2717,64.063919
2718,64.072477
2720,64.137335
2725,64.206868
2729,64.267776
2730,64.26979
2734,64.337428
2736,64.403174
2739,64.466987
2742,64.497209
2744,64.532047
2745,64.603166
2747,64.667097
2748,64.70989
2749,64.7351
2750,64.803012
2752,64.863323
2754,64.903073
2756,64.933224
2757,65.003396
2758,65.063562
2760,65.111935
2761,65.12708
2762,65.203155
2763,65.262929
2765,65.327308
2766,65.327323
2768,65.391913
2769,65.457532
2773,65.522951
2774,65.537142
2775,65.590547
2776,65.657305
2778,65.723344
2779,65.743258
2780,65.787454
2782,65.852344
2784,65.923286
2785,65.943063
2786,65.987041
2787,66.051979
2789,66.116944
2790,66.151889
2794,66.183309
2798,66.249943
2801,66.323035
2803,66.370066
2804,66.382996
2806,66.447443
2808,66.523366
2809,66.563115
2810,66.583142
2811,66.647108
2812,66.711374
2814,66.777506
2815,66.787598
2816,66.842984
2818,66.894664
2820,66.91284
2822,66.977099
2823,67.003108
2824,67.04305
2825,67.107184
2827,67.177301
2828,67.208027
2830,67.244274
2834,67.303506
2836,67.372711
2839,67.412029
2840,67.437204
2844,67.503691
2846,67.569964
2847,67.609985
2848,67.636956
2849,67.704418
2850,67.766939
2852,67.817187
2853,67.843054
2854,67.904399
2856,67.967061
2858,68.032163
2859,68.032177
2860,68.103588
2864,68.163282
2866,68.230203
2867,68.246949
2868,68.29695
2870,68.365059
2874,68.433928
2875,68.447957
2878,68.496938
2880,68.562984
2882,68.627148
2883,68.663226
2884,68.691947
2885,68.76292
2886,68.823049
2888,68.872523
2889,68.889967
2892,68.963269
2893,69.023381
2895,69.067682
2897,69.087567
2898,69.103028
2899,69.152051
2901,69.22293
2904,69.287139
2905,69.311977
2906,69.351899
2907,69.417466
2910,69.487057
2911,69.511429
2912,69.550098
2913,69.617125
2915,69.688076
2916,69.712021
2917,69.747202
2918,69.816926
2920,69.883039
2921,69.923389
2922,69.948408
2924,70.012045
2926,70.083208
2927,70.12293
2928,70.143504
2929,70.210161
2931,70.287045
2935,70.343026
2936,70.343036
2937,70.407164
2939,70.482974
2943,70.567316
2944,70.567325
2945,70.607411
2946,70.670012
2948,70.743026
2949,70.7634
2950,70.803331
2952,70.870482
2953,70.913432
2955,70.943283
2956,70.956958
2957,71.004586
2958,71.006999
2961,71.067128
2963,71.13249
2964,71.172413
2965,71.203225
2966,71.267004
2967,71.330366
2969,71.38323
2970,71.402919
2975,71.46874
2977,71.537025
2979,71.603149
2980,71.603163
2981,71.663077
2982,71.731441
2984,71.804673
2985,71.82317
2986,71.863161
2987,71.927264
2988,71.927276
2990,71.966903
2993,71.989993
2994,71.990007
2995,72.023283
2996,72.057016
2997,72.057028
2998,72.127007
2999,72.127017
3004,72.190219
3005,72.190233
3006,72.230004
3007,72.263124
3008,72.263138
3009,72.323155
3010,72.323167
3012,72.387021
3013,72.387032
3016,72.45566
3017,72.455674
3018,72.455676
3021,72.523013
3022,72.523025
3023,72.587359
3025,72.65208
3026,72.663166
3027,72.723066
3028,72.787071
3030,72.849984
3031,72.877302
3033,72.923021
3034,72.98323
3037,73.051964
3038,73.088117
3039,73.123092
3040,73.183185
3042,73.25854
3044,73.2875
3047,73.318673
3048,73.377492
3050,73.448032
3054,73.488063
3057,73.519281
3058,73.58297
3060,73.658187
3061,73.713312
3062,73.713325
3063,73.777407
3064,73.848109
3065,73.848124
3067,73.907485
3068,73.907503
3069,73.933259
3070,73.970725
3071,73.970737
3073,74.045031
3075,74.108073
3076,74.133284
3077,74.169887
3081,74.243017
3088,74.317965
3091,74.348194
3092,74.37362
